Date,Open,High,Low,Close,Adj Close,Volume,Day_of_Week,Month,Quarter,Rolling_Mean_5,Rolling_Mean_10,Close_Lag_1,Close_Lag_5,Volume_Close_Interaction
2014-02-05,-1.282901008456276,-1.2857916937542064,-1.2898226846263063,-1.284362190745402,-1.284362190745402,0.1339049376460811,2,2,1,-1.2729787493176086,-1.2644663054647265,-1.2789312699443622,-1.273516682450586,0.0005686209480636596
2014-02-06,-1.2809537792032568,-1.2755969389721031,-1.275010646578086,-1.2719692117968595,-1.2719692117968595,0.1132293292017544,3,2,1,-1.2765690781292143,-1.2688654329243545,-1.284362190745402,-1.2540175677388303,-0.0010925646233330153
2014-02-07,-1.264864421348527,-1.2587451935108311,-1.261905360651746,-1.253275137758916,-1.253275137758916,0.1235964527304062,4,2,1,-1.2753735678243827,-1.2689282559874162,-1.2719692117968595,-1.2592526892830738,-0.0018164914816652068
2014-02-10,-1.2530884215778646,-1.2528652589449385,-1.2474500546680405,-1.2472078198096046,-1.2472078198096046,0.1012514762728931,0,2,1,-1.2671491260110288,-1.2671725236320974,-1.253275137758916,-1.2883300288763735,-0.0004901756054008381
2014-02-11,-1.245054631766464,-1.2393163485810772,-1.239083573010346,-1.2355464484169845,-1.2355464484169845,0.1179249993815458,1,2,1,-1.2584721617055534,-1.2646409046820992,-1.2472078198096046,-1.2789312699443622,-0.0011025966903195346
2014-02-12,-1.233580539732151,-1.2355115069406957,-1.228851233793931,-1.232761572072491,-1.232761572072491,0.1217676609881889,2,2,1,-1.248152037970971,-1.2605653936442898,-1.2355464484169845,-1.284362190745402,-0.0002744598384340689
2014-02-13,-1.2404530434959375,-1.227939638398602,-1.2343172350246758,-1.2220520409606426,-1.2220520409606426,0.1413841094856202,3,2,1,-1.2381686038037276,-1.2573688409664707,-1.232761572072491,-1.2719692117968595,-0.0012282646973750574
2014-02-14,-1.2226612625566424,-1.2251763617537352,-1.2191485324140277,-1.2211409671832334,-1.2211409671832334,0.1076229280641653,4,2,1,-1.231741769688591,-1.2535576687564869,-1.2220520409606426,-1.253275137758916,-8.023588547847899e-05
2014-02-18,-1.2181167758540117,-1.218047076092705,-1.2142614749037803,-1.2133196235282266,-1.2133196235282266,0.1080535553782144,1,2,1,-1.2249641304323156,-1.2460566282216723,-1.2211409671832334,-1.2472078198096046,-0.0006920773378914127
2014-02-19,-1.216204803578052,-1.2188674156248076,-1.2173293009613295,-1.222791682592443,-1.222791682592443,0.1145138813172797,2,2,1,-1.2224131772674072,-1.2404426694864803,-1.2133196235282266,-1.2355464484169845,0.0008939789866381393
